CellID,datetime,alert_type,current_activity,baseline_activity,reason
65,2013-11-01 04:00:00,ACTIVITY_DROP,39.152499999999996,94.9783,ACTIVITY_DROP: current activity 39.15 is at least 50% below baseline 94.98.
65,2013-11-01 05:00:00,ACTIVITY_DROP,35.7342,94.9783,ACTIVITY_DROP: current activity 35.73 is at least 50% below baseline 94.98.
65,2013-11-01 06:00:00,ACTIVITY_DROP,36.9632,94.9783,ACTIVITY_DROP: current activity 36.96 is at least 50% below baseline 94.98.
65,2013-11-01 07:00:00,ACTIVITY_DROP,46.6596,94.9783,ACTIVITY_DROP: current activity 46.66 is at least 50% below baseline 94.98.
65,2013-11-01 09:00:00,ACTIVITY_SPIKE,92.92079999999999,94.9783,ACTIVITY_SPIKE: current activity 92.92 is at least 50% above previous-hour activity 60.85.
65,2013-11-01 18:00:00,HIGH_ACTIVITY,142.8166,92.92079999999999,HIGH_ACTIVITY: current activity 142.82 is at least 50% above baseline 92.92.
66,2013-11-01 04:00:00,ACTIVITY_DROP,39.1136,94.6012,ACTIVITY_DROP: current activity 39.11 is at least 50% below baseline 94.60.
66,2013-11-01 05:00:00,ACTIVITY_DROP,36.3657,94.6012,ACTIVITY_DROP: current activity 36.37 is at least 50% below baseline 94.60.
66,2013-11-01 06:00:00,ACTIVITY_DROP,37.4885,94.6012,ACTIVITY_DROP: current activity 37.49 is at least 50% below baseline 94.60.
66,2013-11-01 07:00:00,ACTIVITY_DROP,47.0342,94.6012,ACTIVITY_DROP: current activity 47.03 is at least 50% below baseline 94.60.
66,2013-11-01 09:00:00,ACTIVITY_SPIKE,92.5533,94.6012,ACTIVITY_SPIKE: current activity 92.55 is at least 50% above previous-hour activity 61.34.
66,2013-11-01 18:00:00,HIGH_ACTIVITY,144.7496,92.5533,HIGH_ACTIVITY: current activity 144.75 is at least 50% above baseline 92.55.
67,2013-11-01 04:00:00,ACTIVITY_DROP,43.596799999999995,101.0026,ACTIVITY_DROP: current activity 43.60 is at least 50% below baseline 101.00.
67,2013-11-01 05:00:00,ACTIVITY_DROP,42.9035,101.0026,ACTIVITY_DROP: current activity 42.90 is at least 50% below baseline 101.00.
67,2013-11-01 06:00:00,ACTIVITY_DROP,44.472300000000004,101.0026,ACTIVITY_DROP: current activity 44.47 is at least 50% below baseline 101.00.
67,2013-11-01 18:00:00,HIGH_ACTIVITY,151.9484,95.59020000000001,HIGH_ACTIVITY: current activity 151.95 is at least 50% above baseline 95.59.
72,2013-11-01 02:00:00,ACTIVITY_DROP,44.097699999999996,90.1013,ACTIVITY_DROP: current activity 44.10 is at least 50% below baseline 90.10.
72,2013-11-01 03:00:00,ACTIVITY_DROP,41.5407,90.1013,ACTIVITY_DROP: current activity 41.54 is at least 50% below baseline 90.10.
72,2013-11-01 04:00:00,ACTIVITY_DROP,38.8796,90.1013,ACTIVITY_DROP: current activity 38.88 is at least 50% below baseline 90.10.
72,2013-11-01 05:00:00,ACTIVITY_DROP,39.452,90.1013,ACTIVITY_DROP: current activity 39.45 is at least 50% below baseline 90.10.
72,2013-11-01 06:00:00,ACTIVITY_DROP,38.5825,90.1013,ACTIVITY_DROP: current activity 38.58 is at least 50% below baseline 90.10.
72,2013-11-01 08:00:00,ACTIVITY_SPIKE,79.4008,90.1013,ACTIVITY_SPIKE: current activity 79.40 is at least 50% above previous-hour activity 50.97.
73,2013-11-01 03:00:00,ACTIVITY_DROP,44.7975,95.4901,ACTIVITY_DROP: current activity 44.80 is at least 50% below baseline 95.49.
73,2013-11-01 04:00:00,ACTIVITY_DROP,42.4649,95.4901,ACTIVITY_DROP: current activity 42.46 is at least 50% below baseline 95.49.
73,2013-11-01 05:00:00,ACTIVITY_DROP,45.1635,95.4901,ACTIVITY_DROP: current activity 45.16 is at least 50% below baseline 95.49.
73,2013-11-01 06:00:00,ACTIVITY_DROP,41.6194,95.4901,ACTIVITY_DROP: current activity 41.62 is at least 50% below baseline 95.49.
73,2013-11-01 08:00:00,ACTIVITY_SPIKE,92.3844,95.4901,ACTIVITY_SPIKE: current activity 92.38 is at least 50% above previous-hour activity 52.01.
73,2013-11-01 10:00:00,HIGH_ACTIVITY,153.4704,92.3844,HIGH_ACTIVITY: current activity 153.47 is at least 50% above baseline 92.38.
73,2013-11-01 11:00:00,HIGH_ACTIVITY,140.80780000000001,92.3844,HIGH_ACTIVITY: current activity 140.81 is at least 50% above baseline 92.38.
74,2013-11-01 03:00:00,ACTIVITY_DROP,44.9302,95.6911,ACTIVITY_DROP: current activity 44.93 is at least 50% below baseline 95.69.
74,2013-11-01 04:00:00,ACTIVITY_DROP,42.6113,95.6911,ACTIVITY_DROP: current activity 42.61 is at least 50% below baseline 95.69.
74,2013-11-01 05:00:00,ACTIVITY_DROP,45.3686,95.6911,ACTIVITY_DROP: current activity 45.37 is at least 50% below baseline 95.69.
74,2013-11-01 06:00:00,ACTIVITY_DROP,41.7581,95.6911,ACTIVITY_DROP: current activity 41.76 is at least 50% below baseline 95.69.
74,2013-11-01 08:00:00,ACTIVITY_SPIKE,92.84060000000001,95.6911,ACTIVITY_SPIKE: current activity 92.84 is at least 50% above previous-hour activity 52.09.
74,2013-11-01 10:00:00,HIGH_ACTIVITY,154.5164,92.84060000000001,HIGH_ACTIVITY: current activity 154.52 is at least 50% above baseline 92.84.
74,2013-11-01 11:00:00,HIGH_ACTIVITY,141.57930000000002,92.84060000000001,HIGH_ACTIVITY: current activity 141.58 is at least 50% above baseline 92.84.
75,2013-11-01 03:00:00,ACTIVITY_DROP,44.9302,95.7094,ACTIVITY_DROP: current activity 44.93 is at least 50% below baseline 95.71.
75,2013-11-01 04:00:00,ACTIVITY_DROP,42.617399999999996,95.7094,ACTIVITY_DROP: current activity 42.62 is at least 50% below baseline 95.71.
